Training: 2021-10-31 15:51:26,991-Speed 716.43 samples/sec   Loss 18.3757 Margin 0.0000 Center 0.0845 Epoch: 0   Global Step: 6800   Required: 62 hours
Training: 2021-10-31 15:52:02,612-Speed 718.67 samples/sec   Loss 18.2682 Margin 0.0000 Center 0.1103 Epoch: 0   Global Step: 6850   Required: 62 hours
Training: 2021-10-31 15:52:38,252-Speed 718.32 samples/sec   Loss 18.3739 Margin 0.0000 Center 0.1152 Epoch: 0   Global Step: 6900   Required: 62 hours
Training: 2021-10-31 15:53:13,867-Speed 718.80 samples/sec   Loss 18.3115 Margin 0.0000 Center 0.1116 Epoch: 0   Global Step: 6950   Required: 62 hours
Training: 2021-10-31 15:53:49,491-Speed 718.62 samples/sec   Loss 18.1635 Margin 0.0000 Center 0.1151 Epoch: 0   Global Step: 7000   Required: 62 hours
Training: 2021-10-31 15:54:25,072-Speed 719.50 samples/sec   Loss 18.1223 Margin 0.0000 Center 0.0907 Epoch: 0   Global Step: 7050   Required: 62 hours
Training: 2021-10-31 15:55:00,698-Speed 718.58 samples/sec   Loss 17.9589 Margin 0.0000 Center 0.0858 Epoch: 0   Global Step: 7100   Required: 62 hours
Training: 2021-10-31 15:55:36,333-Speed 718.40 samples/sec   Loss 18.0463 Margin 0.0000 Center 0.1091 Epoch: 0   Global Step: 7150   Required: 61 hours
Training: 2021-10-31 15:56:11,948-Speed 718.80 samples/sec   Loss 17.8884 Margin 0.0000 Center 0.1151 Epoch: 0   Global Step: 7200   Required: 61 hours
Training: 2021-10-31 15:56:47,575-Speed 718.58 samples/sec   Loss 18.3932 Margin 0.0000 Center 0.1093 Epoch: 0   Global Step: 7250   Required: 61 hours
Training: 2021-10-31 15:57:23,206-Speed 718.48 samples/sec   Loss 17.9195 Margin 0.0000 Center 0.0971 Epoch: 0   Global Step: 7300   Required: 61 hours
Training: 2021-10-31 15:57:58,850-Speed 718.22 samples/sec   Loss 18.0442 Margin 0.0000 Center 0.0883 Epoch: 0   Global Step: 7350   Required: 61 hours
Training: 2021-10-31 15:58:34,624-Speed 715.61 samples/sec   Loss 17.9831 Margin 0.0000 Center 0.1092 Epoch: 0   Global Step: 7400   Required: 61 hours
Training: 2021-10-31 15:59:10,297-Speed 717.64 samples/sec   Loss 18.0268 Margin 0.0000 Center 0.0710 Epoch: 0   Global Step: 7450   Required: 61 hours
Training: 2021-10-31 15:59:46,249-Speed 712.06 samples/sec   Loss 17.8078 Margin 0.0000 Center 0.0912 Epoch: 0   Global Step: 7500   Required: 61 hours
